Company name:,Ripple Labs Singapore,,,,,,,,,,,,,,,,
Report name:,Invoice Detail Report with XRP,,,,,,,,,,,,,,,,
Created on:,6/15/2023,,,,,,,,,,,,,,,,
Location:,310_RSG--Ripple Labs Singapore,,,,,,,,,,,,,,,,
Date,Customer name,Customer_ID,Invoice number,Line number,Item_ID,Item description,Memo,Quantity,Transaction currency,Transaction price,Extended price-txn curr,Total transaction amount,Base currency,Price,Extended price-base curr,Total amount,Location_ID
6/5/2023,PAYINC GROUP LIMITED,CUS000405,INV005992,1,Wallet Send Transactions,Wallet Send Transactions-XRP,GBP amount of XRP,"2,606,328.82",GBP,0.39,"1,010,499.75","1,015,552.25",SGD,0.65,"1,699,256.38","1,707,752.66",310_RSG
6/5/2023,PAYINC GROUP LIMITED,CUS000405,INV005992,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"1,010,499.75",GBP,0.01,"5,052.50","1,015,552.25",SGD,0.01,"8,496.28","1,707,752.66",310_RSG
6/12/2023,J&R Asociados SpA,CUS000376,INV006017,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"558,274.56",USD,0.54,"300,000.00","301,200.00",SGD,0.72,"403,350.00","404,963.40",310_RSG
6/12/2023,J&R Asociados SpA,CUS000376,INV006017,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"300,000.00",USD,0.00,"1,200.00","301,200.00",SGD,0.01,"1,613.40","404,963.40",310_RSG
6/12/2023,Clear Aligners Pte. Ltd.,CUS000549,INV006018,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"1,673,707.76",USD,0.01,"8,368.54","1,682,076.30",SGD,0.01,"11,251.50","2,261,551.58",310_RSG
6/12/2023,Clear Aligners Pte. Ltd.,CUS000549,INV006018,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"3,198,611.96",USD,0.52,"1,673,707.76","1,682,076.30",SGD,0.70,"2,250,300.08","2,261,551.58",310_RSG
6/12/2023,EzyRemit Worldwide Pty Ltd,CUS000525,INV006021,1,Wallet Send Transactions,Wallet Send Transactions-XRP,AUD amount of XRP,"811,640.54",AUD,0.79,"637,649.73","638,274.47",SGD,0.71,"578,220.78","578,787.29",310_RSG
6/12/2023,EzyRemit Worldwide Pty Ltd,CUS000525,INV006021,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"624,740.18",AUD,0.00,624.74,"638,274.47",SGD,0.00,566.51,"578,787.29",310_RSG
6/12/2023,Globsol Singapore Pte Ltd,CUS000547,INV006022,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"5,723,101.62",USD,0.52,"2,997,278.04","3,012,264.43",SGD,0.70,"4,029,840.32","4,049,989.52",310_RSG
6/12/2023,Globsol Singapore Pte Ltd,CUS000547,INV006022,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"2,997,278.04",USD,0.01,"14,986.39","3,012,264.43",SGD,0.01,"20,149.20","4,049,989.52",310_RSG
6/12/2023,Omipay Global Pty Ltd,CUS000480,INV006031,1,Wallet Send Transactions,Wallet Send Transactions-XRP,AUD amount of XRP,"1,291,915.21",AUD,0.77,"1,000,700.49","1,000,700.49",SGD,0.70,"907,435.20","907,435.20",310_RSG
6/12/2023,Remittance Finance Corporation Limited,CUS000456,INV006034,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"67,215,828.32",USD,0.52,"35,031,250.00","35,101,312.50",SGD,0.70,"47,099,515.63","47,193,714.66",310_RSG
6/12/2023,Remittance Finance Corporation Limited,CUS000456,INV006034,2,ODL Commission Fees,ODL Commission Fees,ODL Commission Fees,"35,031,250.00",USD,0.00,"70,062.50","35,101,312.50",SGD,0.00,"94,199.03","47,193,714.66",310_RSG
6/12/2023,Sir Money Changer Pte. Ltd.,CUS000514,INV006036,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"2,697,709.62",SGD,0.00,"2,697.71","2,700,407.33",SGD,0.00,"2,697.71","2,700,407.33",310_RSG
